SENIUNIJA,visi,jaunimas,vyresni_zmones,jaunimas_proc,vyresni_zmones_proc
Antakalnis,42889,17586.0,25303.0,41.00352071626757,58.99647928373243
Fabijoniškės,37318,14264.0,23054.0,38.222841524197435,61.777158475802565
Grigiškės,10664,3839.0,6825.0,35.99962490622656,64.00037509377344
Justiniškės,26212,9210.0,17002.0,35.13657866625973,64.86342133374026
Karoliniškės,24599,8301.0,16298.0,33.745274198138134,66.25472580186187
Lazdynai,31975,12373.0,19602.0,38.69585613760751,61.30414386239249
Naujamiestis,34461,14179.0,20282.0,41.14506253445924,58.85493746554076
Naujininkai,35731,12996.0,22735.0,36.37177800789231,63.62822199210769
Naujoji  Vilnia,42499,17138.0,25361.0,40.325654721287556,59.67434527871244
Paneriai,11300,4585.0,6715.0,40.575221238938056,59.424778761061944
Pašilaičiai,43234,19547.0,23687.0,45.21210158671416,54.78789841328584
Pilaitė,31297,15112.0,16185.0,48.28577818960284,51.71422181039716
Rasos,12273,4985.0,7288.0,40.617615904831744,59.38238409516825
Senamiestis,25385,10387.0,14998.0,40.91786488083514,59.08213511916486
Verkiai,55610,24259.0,31351.0,43.62344901996044,56.37655098003956
Vilkpėdė,19565,6881.0,12684.0,35.16994633273703,64.83005366726296
Viršuliškės,13819,4991.0,8828.0,36.1169404443158,63.883059555684206
Šeškinė,29470,9906.0,19564.0,33.61384458771632,66.38615541228367
Šnipiškės,17229,7364.0,9865.0,42.741888676069415,57.258111323930585
Žirmūnai,43842,16502.0,27340.0,37.639706217782035,62.360293782217965
Žvėrynas,13964,5935.0,8029.0,42.502148381552566,57.497851618447434
